428125,苏B8T362,31.5893,120.29723,36,90,1476722101,1
430910,苏B8T362,31.5884,120.2987,44,135,1476722115,1
431331,苏B8T362,31.588284,120.29868,41,180,1476722117,1
431933,苏B8T362,31.588066,120.298584,39,180,1476722120,1
435961,苏B8T362,31.586166,120.29742,41,180,1476722140,1
440163,苏B8T362,31.584833,120.29598,38,180,1476722161,1
448641,苏B8T362,31.584633,120.29602,0,180,1476722203,1
449712,苏B8T362,31.584368,120.29625,3,135,1476722208,1
452369,苏B8T362,31.5841,120.29688,6,90,1476722221,1
458798,苏B8T362,31.5838,120.29755,4,90,1476722253,0
462613,苏B8T362,31.582983,120.29935,36,90,1476722272,0
465884,苏B8T362,31.583166,120.29902,1,90,1476722288,0
466875,苏B8T362,31.583384,120.298584,32,270,1476722293,0
470775,苏B8T362,31.5838,120.29787,14,270,1476722312,0
482803,苏B8T362,31.58395,120.2973,6,270,1476722372,0
486816,苏B8T362,31.58455,120.29628,19,270,1476722392,0
491102,苏B8T362,31.58485,120.295166,13,270,1476722413,0
494981,苏B8T362,31.585117,120.29307,37,270,1476722432,0
495343,苏B8T362,31.585167,120.29297,19,270,1476722434,0
499057,苏B8T362,31.586517,120.29145,41,270,1476722452,0
500261,苏B8T362,31.58705,120.291084,40,315,1476722458,0
503237,苏B8T362,31.58875,120.291084,43,315,1476722473,0
505274,苏B8T362,31.589666,120.29062,38,315,1476722483,0
507299,苏B8T362,31.590334,120.290184,30,315,1476722493,0
507912,苏B8T362,31.590616,120.29042,36,0,1476722496,0
511305,苏B8T362,31.592234,120.29193,47,0,1476722513,0
513152,苏B8T362,31.593067,120.2925,40,0,1476722522,0
513542,苏B8T362,31.5932,120.292465,24,315,1476722524,0
513931,苏B8T362,31.593267,120.2924,20,315,1476722526,0
515151,苏B8T362,31.593483,120.291985,29,270,1476722532,0
519360,苏B8T362,31.594183,120.2906,26,270,1476722553,0
523434,苏B8T362,31.595083,120.289,32,270,1476722573,0
527212,苏B8T362,31.5961,120.28735,35,270,1476722592,0
531259,苏B8T362,31.5966,120.28661,11,270,1476722612,0
535465,苏B8T362,31.59755,120.285286,27,270,1476722633,0
539317,苏B8T362,31.59815,120.28443,14,270,1476722652,0
542574,苏B8T362,31.59875,120.28363,22,315,1476722668,0
542962,苏B8T362,31.59885,120.28363,17,0,1476722670,0
543560,苏B8T362,31.599,120.28375,24,0,1476722673,0
547658,苏B8T362,31.600782,120.285385,44,0,1476722693,0
551465,苏B8T362,31.602934,120.28723,55,0,1476722712,0
555658,苏B8T362,31.604668,120.28862,39,0,1476722733,0
559666,苏B8T362,31.605633,120.28917,20,0,1476722753,0
567490,苏B8T362,31.60775,120.29037,42,0,1476722792,0
571553,苏B8T362,31.609367,120.29137,34,0,1476722812,0
575710,苏B8T362,31.610367,120.2918,15,0,1476722833,0
579499,苏B8T362,31.613,120.29205,54,315,1476722852,0
583505,苏B8T362,31.615334,120.2921,45,0,1476722872,0
587624,苏B8T362,31.61555,120.292114,3,0,1476722893,0
594193,苏B8T362,31.61595,120.292,2,0,1476722926,0
595421,苏B8T362,31.616182,120.29145,35,270,1476722932,0
599399,苏B8T362,31.617567,120.288864,51,270,1476722952,0
603531,苏B8T362,31.61905,120.2863,49,270,1476722973,0
607508,苏B8T362,31.619467,120.2856,13,270,1476722993,0
611308,苏B8T362,31.61965,120.28523,1,270,1476723012,0
613444,苏B8T362,31.62015,120.28455,26,315,1476723023,0
614044,苏B8T362,31.620216,120.28455,8,0,1476723026,0
615466,苏B8T362,31.62045,120.28468,15,0,1476723033,0
615869,苏B8T362,31.6205,120.284615,14,315,1476723035,0
661101,苏B8T362,31.620417,120.2842,1,225,1476723263,0
661886,苏B8T362,31.620367,120.28408,12,270,1476723267,0
662517,苏B8T362,31.620434,120.283936,19,270,1476723270,0
662940,苏B8T362,31.620483,120.28384,21,270,1476723272,0
663310,苏B8T362,31.620533,120.28373,17,225,1476723274,0
663528,苏B8T362,31.620518,120.2837,14,180,1476723275,0
663737,苏B8T362,31.620483,120.28368,15,180,1476723276,0
663951,苏B8T362,31.620434,120.283714,19,135,1476723277,0
666904,苏B8T362,31.619967,120.284584,22,90,1476723292,0
670692,苏B8T362,31.619568,120.28533,15,90,1476723311,0
671079,苏B8T362,31.619583,120.285416,16,45,1476723313,0
672688,苏B8T362,31.620132,120.28605,34,0,1476723321,0
675019,苏B8T362,31.621267,120.28717,47,0,1476723333,0
678794,苏B8T362,31.623266,120.28913,54,0,1476723352,0
681966,苏B8T362,31.625267,120.2902,54,0,1476723368,0
682944,苏B8T362,31.62595,120.29028,55,0,1476723373,0
686874,苏B8T362,31.6287,120.291016,56,0,1476723393,0
690684,苏B8T362,31.631117,120.29197,53,0,1476723412,0
694807,苏B8T362,31.63365,120.29275,49,0,1476723433,0
697802,苏B8T362,31.634382,120.292984,21,0,1476723448,0
698775,苏B8T362,31.63465,120.29338,35,45,1476723453,0
702584,苏B8T362,31.6349,120.295715,41,45,1476723472,0
706686,苏B8T362,31.635134,120.298935,48,45,1476723493,0
710687,苏B8T362,31.635134,120.29977,9,90,1476723513,0
714078,苏B8T362,31.634684,120.30185,42,90,1476723530,0
714499,苏B8T362,31.634518,120.302,39,135,1476723532,0
715307,苏B8T362,31.634132,120.30212,38,135,1476723536,0
718586,苏B8T362,31.633217,120.301765,21,180,1476723553,0
873844,苏B8T362,31.63295,120.30165,0,180,1476724332,0
877997,苏B8T362,31.631817,120.30133,21,180,1476724353,0
881945,苏B8T362,31.6307,120.30115,22,180,1476724373,0
885699,苏B8T362,31.629383,120.3009,28,180,1476724392,0
889823,苏B8T362,31.627567,120.30068,34,180,1476724413,0
893780,苏B8T362,31.625683,120.30064,37,135,1476724433,0
894207,苏B8T362,31.625633,120.30072,15,90,1476724435,0
897593,苏B8T362,31.625616,120.30133,12,90,1476724452,0
901781,苏B8T362,31.625566,120.302284,14,90,1476724473,0
905713,苏B8T362,31.625433,120.30313,14,90,1476724493,0
909454,苏B8T362,31.62535,120.30386,13,90,1476724512,0
913537,苏B8T362,31.625217,120.30427,6,90,1476724533,0
914161,苏B8T362,31.624983,120.30423,3,90,1476724536,0
917466,苏B8T362,31.624884,120.30417,2,180,1476724553,0
4691053,苏B8T362,31.625217,120.304085,7,270,1476744416,0
4694781,苏B8T362,31.6254,120.30327,15,270,1476744434,0
4699134,苏B8T362,31.62555,120.302216,17,270,1476744455,0
4703275,苏B8T362,31.6256,120.301865,5,270,1476744475,0
4825110,苏B8T362,31.625616,120.30178,0,270,1476745059,0
4841293,苏B8T362,31.625616,120.30155,11,0,1476745136,0
4845332,苏B8T362,31.625668,120.30085,12,270,1476745155,0
4846622,苏B8T362,31.62565,120.30061,1,270,1476745161,0
4847243,苏B8T362,31.625566,120.30055,13,180,1476745164,0
4849245,苏B8T362,31.624783,120.30055,31,180,1476745174,0
4853668,苏B8T362,31.623882,120.300514,16,135,1476745195,0
4854110,苏B8T362,31.623617,120.300514,11,135,1476745197,1
4858086,苏B8T362,31.6224,120.30055,25,180,1476745216,1
4866538,苏B8T362,31.622116,120.30055,8,135,1476745256,1
4870989,苏B8T362,31.6209,120.30055,23,135,1476745277,1
4875176,苏B8T362,31.618383,120.30092,36,135,1476745297,1
4879111,苏B8T362,31.616882,120.30098,34,180,1476745316,1
4883544,苏B8T362,31.615133,120.3008,33,180,1476745337,1
4887714,苏B8T362,31.612917,120.300316,38,180,1476745357,1
4891876,苏B8T362,31.6111,120.30005,38,180,1476745377,1
4893165,苏B8T362,31.610867,120.30003,13,180,1476745383,0
4901507,苏B8T362,31.610216,120.299965,6,180,1476745423,0
4905830,苏B8T362,31.6084,120.29977,36,180,1476745443,0
4909812,苏B8T362,31.60685,120.299484,31,180,1476745462,0
4922689,苏B8T362,31.60595,120.299385,12,180,1476745523,0
4926915,苏B8T362,31.6033,120.299,53,180,1476745543,0
4929215,苏B8T362,31.602266,120.29853,38,225,1476745554,0
4929641,苏B8T362,31.602266,120.29845,13,270,1476745556,0
4930952,苏B8T362,31.602383,120.29815,18,270,1476745562,0
4935314,苏B8T362,31.6029,120.29657,26,270,1476745583,0
4939516,苏B8T362,31.603317,120.2955,19,270,1476745603,0
4943494,苏B8T362,31.603968,120.29385,32,270,1476745622,0
4947929,苏B8T362,31.604317,120.29295,15,270,1476745643,0
4952196,苏B8T362,31.604483,120.292534,1,270,1476745663,0
4956438,苏B8T362,31.604834,120.2917,15,270,1476745683,0
4964845,苏B8T362,31.60555,120.28978,27,270,1476745723,0
4969042,苏B8T362,31.605667,120.28952,4,270,1476745743,0
4985862,苏B8T362,31.60575,120.28927,0,270,1476745823,0
4990055,苏B8T362,31.605783,120.28917,1,270,1476745843,0
4994346,苏B8T362,31.6065,120.28755,24,270,1476745863,0
4998406,苏B8T362,31.606518,120.2875,0,270,1476745882,0
5001796,苏B8T362,31.606518,120.2875,0,270,1476745898,1
5002013,苏B8T362,31.606382,120.28767,20,270,1476745899,1
5005600,苏B8T362,31.6058,120.289,28,90,1476745916,1
5006026,苏B8T362,31.605734,120.28903,27,135,1476745918,1
5006880,苏B8T362,31.605583,120.28903,25,180,1476745922,1
5010054,苏B8T362,31.604383,120.28835,29,180,1476745937,1
5014501,苏B8T362,31.603683,120.28782,24,180,1476745958,1
5018707,苏B8T362,31.601618,120.28598,47,180,1476745978,1
5023006,苏B8T362,31.599684,120.28429,47,180,1476745998,1
5027248,苏B8T362,31.598984,120.28367,37,180,1476746018,1
5047842,苏B8T362,31.5988,120.28353,0,180,1476746116,1
5048273,苏B8T362,31.5987,120.28355,1,135,1476746118,1
5049097,苏B8T362,31.598566,120.28363,2,135,1476746122,1
